Bathrooms,Bedrooms,Garage,House_Type,Neighborhood,Pool,Property_ID,Renovated_Year,Sale_Price,Square_Feet,Year_Built
2.5,4,1,Townhouse,Northern Liberties,1,1947,2020,381912,5934,1984
3.0,1,0,Loft,Center City,0,1948,2010,630260,4484,1931
5.0,4,2,Townhouse,Chestnut Hill,0,1949,2018,516001,3659,1992
4.5,5,0,Condo,University City,1,1950,2015,593914,1670,1983
1.0,6,0,Mansion,Old City,0,1951,2018,469422,2025,1965
3.5,3,1,Loft,Northern Liberties,0,1952,2010,226173,2987,1915
3.0,6,0,Townhouse,Society Hill,1,1953,2015,1285635,5404,1953
2.5,1,1,Apartment,University City,1,1954,2018,965927,1658,1996
4.5,1,2,Loft,Rittenhouse Square,0,1955,2018,1356171,854,1946
3.0,6,2,Loft,Northern Liberties,0,1956,2020,161897,5199,1969
1.0,2,1,Townhouse,Chestnut Hill,1,1957,2015,1233124,2379,1956
2.5,2,2,Condo,Old City,1,1958,,498370,4842,1963
2.0,1,2,Row House,Society Hill,1,1959,2020,793050,5044,2003
4.5,6,1,Row House,Bella Vista,1,1960,2018,566990,3856,1901
1.5,5,2,Condo,Society Hill,0,1961,2010,329714,4948,1912
3.5,2,1,Condo,Chestnut Hill,1,1962,,1105266,5440,1968
3.5,1,2,Apartment,Bella Vista,1,1963,2020,1284214,3340,2022
2.5,6,0,Townhouse,University City,0,1964,,846845,6793,1995
3.0,2,2,Townhouse,Rittenhouse Square,1,1965,,748213,2697,2016
4.5,2,2,Mansion,Society Hill,1,1966,2010,435426,6270,1912
4.5,4,0,Townhouse,Chestnut Hill,1,1967,2018,884846,6473,1953
2.5,4,0,Townhouse,Society Hill,0,1968,2010,1008635,6742,1964
1.5,4,2,Apartment,Society Hill,0,1969,2010,887937,2416,2020
2.5,2,1,Mansion,Northern Liberties,1,1970,2010,1081215,4758,1977
4.0,1,2,Townhouse,Northern Liberties,0,1971,2018,895342,2150,1911
2.5,3,1,Apartment,Center City,1,1972,2018,1439303,6965,1951
2.0,5,1,Condo,Old City,1,1973,,923419,4763,1909
4.5,6,1,Condo,Fishtown,0,1974,2020,599009,5623,1940
1.5,5,1,Loft,Society Hill,1,1975,,486882,2436,1916
5.0,5,0,Mansion,Fairmount,0,1976,2015,790982,2640,2011
3.5,4,0,Row House,Old City,0,1977,2010,797376,3779,1982
3.5,2,1,Loft,Fishtown,0,1978,2010,355540,3479,1916
3.0,2,1,Condo,Bella Vista,1,1979,,228299,5181,1996
4.5,1,2,Row House,Chestnut Hill,1,1980,,311484,5018,1964
3.5,1,0,Loft,Northern Liberties,0,1981,2018,639474,4302,1991
5.0,4,2,Single Family,Bella Vista,1,1982,2015,393116,3219,2003
2.5,4,1,Single Family,Center City,1,1983,2018,426126,1791,1919
4.5,3,2,Single Family,Old City,0,1984,2020,1120376,6418,1955
3.5,4,0,Single Family,Northern Liberties,0,1985,,1168779,5608,1950
4.0,6,0,Townhouse,University City,1,1986,2015,1485754,6225,1962
3.0,3,1,Condo,Rittenhouse Square,0,1987,2015,1302875,5377,1981
1.0,1,1,Townhouse,Society Hill,0,1988,2015,362726,2889,2002
1.0,1,2,Loft,Bella Vista,0,1989,2010,1171705,5123,1936
1.0,3,0,Mansion,Fairmount,0,1990,,1090513,6658,1983
1.0,5,2,Apartment,Old City,1,1991,2010,730880,2550,1991
3.0,5,1,Townhouse,Rittenhouse Square,0,1992,2015,977647,4750,1957
2.0,4,1,Single Family,Society Hill,0,1993,2018,1260489,4798,1993
4.5,6,2,Single Family,Fishtown,0,1994,,1072088,3616,1920
4.0,3,1,Townhouse,Old City,1,1995,2010,180679,4167,1982
3.5,6,0,Row House,Society Hill,0,1996,2015,290994,1766,1934
4.5,4,0,Townhouse,Center City,0,1997,2010,949853,6095,1936
4.5,1,2,Condo,Old City,0,1998,2010,1014292,5623,1936
5.0,5,1,Apartment,Rittenhouse Square,0,1999,,1399825,5238,2006
3.5,2,0,Loft,Fairmount,1,2000,2018,464100,6535,1949
3.5,2,2,Condo,Fishtown,1,2001,2018,760817,2519,1988
3.5,2,0,Mansion,Fairmount,1,2002,2020,907709,2874,1933
1.0,4,2,Loft,Center City,1,2003,2018,1145307,2151,1952
2.0,3,2,Mansion,Northern Liberties,1,2004,2020,1244718,5528,1947
5.0,4,2,Loft,Bella Vista,1,2005,2020,663281,4047,1995
2.0,2,1,Apartment,Chestnut Hill,1,2006,2018,347482,6950,1926
3.5,3,0,Apartment,University City,0,2007,2015,733117,5448,1924
5.0,3,2,Mansion,Center City,0,2008,2010,1403598,5694,1985
2.0,6,1,Row House,Northern Liberties,0,2009,,1005994,6660,1923
3.5,3,2,Apartment,Bella Vista,1,2010,2020,788403,5435,1921
5.0,4,2,Mansion,Northern Liberties,1,2011,2015,462938,4914,1987
4.5,6,2,Townhouse,Fairmount,1,2012,,314302,2218,1902
3.5,4,2,Apartment,University City,0,2013,2020,738596,1204,1910
4.0,6,2,Condo,Fishtown,0,2014,2018,715461,5601,1910
1.5,3,0,Condo,Center City,0,2015,2015,845237,5813,1954
3.0,1,2,Single Family,Old City,0,2016,,736137,3166,1920
1.5,5,1,Condo,Center City,0,2017,2020,692380,3964,1939
5.0,1,1,Row House,Society Hill,0,2018,2010,473708,4105,1958
1.5,5,2,Townhouse,Northern Liberties,1,2019,2015,1077898,2022,1952
4.0,3,1,Condo,Fishtown,1,2020,2010,191083,3804,1928
2.0,1,2,Loft,Chestnut Hill,0,2021,2020,1442711,4690,1949
1.0,4,1,Row House,Rittenhouse Square,0,2022,2020,1105783,6332,1962
3.5,4,1,Mansion,Rittenhouse Square,1,2023,2015,195289,3871,1991
1.0,3,2,Apartment,Bella Vista,0,2024,2015,1147123,5738,1905
4.0,6,1,Apartment,University City,0,2025,2018,557154,1686,1960
3.5,4,2,Single Family,Old City,0,2026,2020,267725,2876,1962
4.0,1,2,Apartment,Chestnut Hill,0,2027,2018,545030,6512,1983
1.0,4,0,Townhouse,Old City,1,2028,2010,230215,964,1975
5.0,5,1,Loft,University City,0,2029,2015,152329,1438,2006
4.0,6,2,Condo,Rittenhouse Square,0,2030,,404317,1175,1942
4.5,6,1,Row House,Rittenhouse Square,1,2031,2020,510960,2173,1959
4.0,2,2,Single Family,Northern Liberties,1,2032,2010,1111270,6030,1929
3.0,1,0,Apartment,Chestnut Hill,1,2033,2015,923897,1010,1980
4.5,1,0,Loft,Old City,0,2034,2015,900309,5722,2013
4.5,5,0,Mansion,Fairmount,1,2035,2020,601576,6345,1950
1.0,5,2,Row House,Fishtown,1,2036,2010,325682,1776,1910
4.0,2,2,Apartment,Chestnut Hill,0,2037,,647668,5235,1938
3.0,2,0,Mansion,Center City,0,2038,2010,909843,1766,1915
2.0,2,2,Condo,Bella Vista,0,2039,2020,939345,6271,1963
5.0,4,1,Single Family,Chestnut Hill,1,2040,2018,207561,810,1985
3.0,2,0,Single Family,Society Hill,0,2041,2015,1218824,5950,1936
2.0,5,0,Loft,Bella Vista,1,2042,,823817,2324,1971
1.5,3,1,Apartment,Old City,0,2043,2010,1099810,6911,1958
3.5,5,2,Row House,Bella Vista,1,2044,2010,930475,2051,1906
3.5,5,1,Loft,Society Hill,0,2045,2010,823934,6838,1948
3.5,5,2,Mansion,Rittenhouse Square,0,2046,2015,452584,2989,1960
2.5,6,1,Single Family,Fairmount,0,2047,2018,1271597,3584,1947
2.0,1,0,Condo,Old City,1,2048,2010,165043,1069,1958
1.0,3,2,Apartment,Old City,1,2049,2020,449964,3334,1980
3.0,4,1,Row House,Chestnut Hill,0,2050,2020,493672,3784,1958
3.0,4,1,Single Family,University City,0,2051,,1463909,3259,1952
2.5,2,0,Row House,Center City,1,2052,,974066,3452,1938
3.0,3,0,Apartment,Bella Vista,0,2053,2020,563374,2810,1952
2.0,4,0,Apartment,Center City,1,2054,2010,1013195,3756,1980
1.5,1,0,Apartment,University City,1,2055,2010,946601,5119,1929
3.5,2,1,Loft,Rittenhouse Square,1,2056,2010,395829,5459,1979
4.0,6,0,Loft,University City,1,2057,2020,1259212,833,1958
2.5,1,2,Condo,Northern Liberties,1,2058,2020,373765,4197,1950
1.0,3,0,Mansion,Center City,1,2059,2020,612029,5901,1945
2.0,6,2,Condo,Fishtown,1,2060,2015,912062,6235,1911
3.5,2,0,Single Family,Northern Liberties,1,2061,,180794,3572,1904
1.5,6,0,Mansion,Fishtown,0,2062,2018,1419124,6064,1947
3.0,5,2,Loft,Center City,0,2063,2015,1236148,5191,2010
1.5,4,0,Mansion,Chestnut Hill,0,2064,2018,1378703,6723,1961
2.0,5,0,Single Family,Fairmount,0,2065,,1359693,3256,2005
4.0,6,1,Row House,Bella Vista,1,2066,2018,465510,5060,1966
2.0,1,2,Mansion,Rittenhouse Square,0,2067,2015,1148412,6533,2014
2.0,3,1,Townhouse,Fairmount,1,2068,2010,442732,4664,1908
1.5,2,1,Single Family,Rittenhouse Square,1,2069,2015,653020,6386,1916
5.0,6,0,Condo,Fairmount,0,2070,,1395695,4026,1954
2.0,2,0,Loft,Center City,0,2071,2018,1032793,2679,2019
1.5,1,0,Condo,University City,1,2072,2020,330165,6862,1900
3.0,3,1,Townhouse,Bella Vista,0,2073,2015,1119671,2891,2004
2.5,1,0,Townhouse,Bella Vista,1,2074,2010,818225,2998,1937
3.0,4,0,Mansion,Chestnut Hill,0,2075,2018,160920,1101,2022
5.0,3,2,Townhouse,Center City,1,2076,2015,425444,3275,1958
5.0,4,0,Condo,Center City,0,2077,2020,1258443,4002,2012
5.0,6,2,Mansion,Bella Vista,1,2078,2018,834398,2033,1969
5.0,1,2,Row House,Society Hill,0,2079,2015,944531,4957,1997
4.0,6,0,Condo,Fishtown,1,2080,2018,1047894,2272,1910
3.0,2,2,Row House,Old City,1,2081,2018,380264,4224,1958
3.5,2,1,Single Family,Center City,0,2082,2018,579182,4427,1932
2.0,2,2,Condo,Fairmount,1,2083,2010,810176,1316,1910
2.0,4,1,Mansion,Center City,1,2084,2010,1152485,5318,2011
4.0,1,0,Townhouse,Bella Vista,0,2085,2015,1356685,6588,1972
5.0,5,2,Row House,University City,0,2086,,1330738,4418,1949
2.0,4,2,Townhouse,Society Hill,1,2087,,821659,4680,1946
3.0,4,1,Loft,Fishtown,0,2088,2020,454594,944,2002
3.0,2,2,Loft,Fairmount,1,2089,2015,557210,958,2006
1.5,2,0,Townhouse,Fishtown,0,2090,2018,623248,3103,1909
3.5,2,2,Mansion,Fairmount,1,2091,2020,544524,2636,2016
1.5,6,0,Condo,Fishtown,0,2092,2020,836125,2178,1944
4.0,5,1,Apartment,Society Hill,1,2093,2018,1375005,6071,1991
3.5,5,0,Townhouse,Society Hill,0,2094,2015,1272871,4724,1930
2.5,4,2,Loft,University City,0,2095,2015,155331,5861,1999
2.0,2,2,Loft,Rittenhouse Square,1,2096,2015,532920,3773,1994
1.5,2,1,Apartment,Old City,1,2097,2015,404608,969,1913
1.0,4,2,Loft,Society Hill,0,2098,2020,1133848,5853,1930
4.5,2,2,Condo,Center City,1,2099,2010,1177833,2631,1914
1.5,1,1,Mansion,Center City,1,2100,,903511,1393,1956
2.5,1,0,Row House,Old City,1,2101,2018,1091208,3895,1956
4.0,4,0,Apartment,Rittenhouse Square,0,2102,2020,1052015,1019,1936
5.0,1,2,Loft,Rittenhouse Square,1,2103,2020,218431,3539,1998
2.5,4,2,Mansion,Bella Vista,1,2104,2015,197443,4599,1901
3.5,6,2,Row House,University City,0,2105,2018,1190889,3313,1924
1.5,4,2,Apartment,Fairmount,0,2106,2020,721847,5883,1981
1.0,2,1,Loft,Old City,1,2107,2015,600917,3724,1992
3.5,4,0,Townhouse,Chestnut Hill,0,2108,2015,765704,3046,1968
3.5,6,0,Apartment,Fairmount,1,2109,2010,1062154,5716,1919
2.0,3,2,Condo,Northern Liberties,1,2110,2010,1397178,5098,1994
1.0,1,1,Townhouse,Northern Liberties,1,2111,2010,939267,975,1908
5.0,2,0,Mansion,Bella Vista,0,2112,2020,523333,6953,1928
1.0,1,2,Mansion,Bella Vista,0,2113,2015,1429002,5505,2007
2.0,2,0,Townhouse,Chestnut Hill,1,2114,,295449,3921,1935
1.5,2,2,Mansion,Bella Vista,0,2115,,1301986,1756,1986
2.0,2,1,Loft,Northern Liberties,0,2116,2018,1207077,4203,1935
3.0,2,2,Single Family,University City,1,2117,,165249,2620,1965
1.5,4,1,Condo,Northern Liberties,1,2118,,235005,3545,2006
3.5,1,1,Single Family,Rittenhouse Square,0,2119,2010,1123963,5781,2021
3.5,5,2,Row House,Old City,1,2120,,1112794,1958,1990
3.5,4,2,Loft,Northern Liberties,0,2121,2015,1094802,3777,1980
3.0,5,2,Row House,Chestnut Hill,1,2122,2020,1292225,4179,1940
1.0,5,2,Townhouse,Center City,1,2123,2020,534073,2299,1908
3.5,4,0,Condo,Bella Vista,1,2124,2010,989740,4279,1955
2.5,6,2,Apartment,Old City,1,2125,,546858,6639,1923
3.0,4,0,Condo,Center City,0,2126,2010,764467,6116,1922
1.5,6,2,Condo,Old City,1,2127,2018,661127,5497,1943
3.0,5,0,Mansion,Center City,0,2128,2018,1305587,6191,1964
1.5,3,0,Apartment,Old City,0,2129,2020,764314,1272,1968
2.0,3,1,Condo,Society Hill,0,2130,2010,1239256,4034,1987
5.0,5,2,Row House,University City,1,2131,2018,425308,842,1969
3.5,2,1,Condo,University City,0,2132,2015,1031374,3896,1987
2.5,5,0,Row House,Bella Vista,1,2133,,999622,1552,1951
3.5,5,2,Row House,Center City,0,2134,2015,492952,5435,1953
4.0,5,0,Apartment,Old City,1,2135,,976415,2114,1928
2.0,5,0,Townhouse,Rittenhouse Square,1,2136,2015,222869,6842,1940
5.0,5,2,Row House,Rittenhouse Square,1,2137,2015,703013,3460,1925
1.0,6,2,Single Family,Rittenhouse Square,0,2138,2020,527803,4474,1921
4.0,3,1,Apartment,Society Hill,1,2139,2020,217824,2842,1934
4.0,1,1,Townhouse,Fairmount,0,2140,,683957,2325,1925
1.0,6,1,Row House,University City,1,2141,2015,197541,4510,1972
4.0,1,2,Mansion,Rittenhouse Square,1,2142,2018,1100558,1293,1962
4.0,1,2,Single Family,Northern Liberties,0,2143,2018,926042,6347,1911
4.0,5,0,Apartment,Chestnut Hill,1,2144,,315805,2885,1919
1.5,5,1,Condo,Rittenhouse Square,0,2145,2020,295070,3992,1949
2.0,1,1,Row House,Rittenhouse Square,0,2146,2018,1465495,851,1939
3.0,4,2,Mansion,Society Hill,1,2147,2015,1185608,5975,1902
2.0,2,2,Loft,Center City,0,2148,,744409,2579,1912
4.0,3,2,Condo,Society Hill,0,2149,2020,879810,4107,1996
2.5,2,1,Apartment,Chestnut Hill,1,2150,2015,1041278,5868,1991
2.0,2,0,Row House,Northern Liberties,1,2151,2018,665771,1741,1984
4.5,5,1,Mansion,Northern Liberties,1,2152,,1340083,1075,1900
1.5,1,1,Apartment,Bella Vista,0,2153,2010,1432448,3508,2006
4.5,5,0,Townhouse,Fairmount,1,2154,2018,777606,1770,1928
2.0,5,1,Condo,Old City,0,2155,2015,873721,5687,1967
3.5,1,2,Mansion,Northern Liberties,0,2156,2018,262386,5366,1962
4.5,5,1,Condo,Bella Vista,0,2157,2020,562437,3798,2020
2.5,5,0,Single Family,Old City,1,2158,2018,899806,1250,1914
4.5,5,0,Apartment,Bella Vista,0,2159,,836767,2139,1961
3.5,2,1,Apartment,Fishtown,1,2160,2020,623312,2368,1990
2.0,1,2,Townhouse,Fishtown,1,2161,,917936,6611,1964
1.5,1,2,Mansion,Center City,1,2162,2018,263804,1746,1974
4.0,3,1,Single Family,Fishtown,1,2163,2015,307025,1792,2000
2.0,4,2,Apartment,Rittenhouse Square,0,2164,2015,269625,4296,2014
2.0,2,2,Apartment,University City,1,2165,2010,1287513,3210,1905
2.0,5,2,Row House,Center City,1,2166,2018,871999,4242,1934
4.0,5,2,Row House,Northern Liberties,1,2167,2018,409693,5784,1918
3.5,6,1,Apartment,Northern Liberties,1,2168,2020,990425,2082,1923
4.5,3,2,Single Family,Fishtown,1,2169,2015,669698,4978,1901
3.0,3,1,Condo,Northern Liberties,1,2170,2015,453831,6237,1925
1.0,5,0,Condo,Fishtown,1,2171,2010,1348398,6223,2014
4.0,1,0,Loft,Rittenhouse Square,0,2172,,564630,1050,1959
1.5,1,1,Row House,Old City,1,2173,,1314451,5614,2004
2.5,6,2,Single Family,Bella Vista,0,2174,2015,205733,3575,1905
5.0,4,1,Row House,Society Hill,0,2175,2010,555707,2030,1979
1.0,6,0,Apartment,University City,1,2176,2020,1083891,5719,1900
3.0,1,0,Row House,Bella Vista,0,2177,,417011,6227,2006
2.5,1,2,Mansion,Society Hill,0,2178,2010,589176,5717,1939
3.0,2,2,Condo,Old City,0,2179,2015,956273,4154,2004
4.0,2,2,Single Family,Old City,1,2180,2010,803034,3679,2010
5.0,3,1,Mansion,Old City,1,2181,2015,1228876,5863,1998
2.0,6,2,Condo,University City,0,2182,2018,1211454,4191,1952
1.0,1,1,Row House,Chestnut Hill,1,2183,2010,625550,3250,1922
2.5,3,0,Single Family,Rittenhouse Square,1,2184,2018,506175,2143,1914
3.0,5,1,Mansion,Fairmount,1,2185,2010,382353,950,2004
3.5,3,1,Loft,Center City,1,2186,,1269182,4668,1912
3.5,1,1,Mansion,Fairmount,1,2187,2010,1221614,5630,1943
5.0,1,2,Row House,Chestnut Hill,1,2188,2018,486898,2340,2006
2.0,2,0,Townhouse,Fishtown,0,2189,2010,1473835,5528,1947
4.5,4,2,Apartment,Society Hill,0,2190,2015,1038290,1119,1951
5.0,4,1,Apartment,Fairmount,1,2191,2015,1135087,5260,1947
2.5,3,2,Apartment,University City,0,2192,2010,635454,2495,1992
3.5,5,2,Mansion,Rittenhouse Square,1,2193,2018,1018844,6025,2013
2.5,3,0,Single Family,Rittenhouse Square,0,2194,,786237,5556,1976
1.0,2,0,Row House,Rittenhouse Square,1,2195,2020,838559,6609,1978
1.0,3,1,Single Family,Fairmount,0,2196,2010,857258,2118,1923
4.5,4,0,Condo,Rittenhouse Square,1,2197,2015,336883,1531,1922
2.0,6,0,Townhouse,Chestnut Hill,1,2198,2020,581559,4070,1916
3.0,4,2,Loft,Society Hill,1,2199,2010,1405743,905,1917
1.0,6,2,Loft,Northern Liberties,0,2200,2020,1267715,5918,2004
1.5,2,0,Condo,Chestnut Hill,0,2201,2015,486642,6438,1946
4.5,1,0,Townhouse,Northern Liberties,0,2202,2010,1449545,6338,2019
4.5,6,0,Loft,Bella Vista,1,2203,2018,827337,3158,2015
3.5,1,2,Loft,Northern Liberties,1,2204,2015,1191320,3529,2002
5.0,3,2,Apartment,University City,0,2205,2010,645246,5220,1953
1.0,4,2,Mansion,Chestnut Hill,1,2206,,185342,2641,1907
3.5,6,2,Loft,Chestnut Hill,0,2207,2018,670854,1591,1903
3.0,3,1,Townhouse,Old City,0,2208,2015,209052,1972,1925
2.0,5,0,Mansion,Center City,1,2209,,1372316,5793,1937
3.5,1,2,Mansion,Center City,0,2210,2018,631123,3502,1914
4.5,6,1,Apartment,Fairmount,1,2211,2010,716510,5918,1927
2.0,1,1,Mansion,Fishtown,0,2212,2010,1209561,5590,1905
2.5,3,0,Condo,Fairmount,1,2213,,502223,936,1948
1.5,6,2,Townhouse,University City,0,2214,,515255,4984,1974
4.0,4,2,Loft,Northern Liberties,1,2215,2015,1237805,5148,1932
1.0,3,0,Condo,Bella Vista,0,2216,2015,160728,1109,1993
3.0,4,1,Condo,Old City,1,2217,2015,987164,3312,1998
4.5,4,2,Townhouse,University City,1,2218,2015,1460496,4360,1979
1.0,4,1,Single Family,Chestnut Hill,0,2219,,551997,4866,2003
4.5,3,1,Townhouse,Society Hill,0,2220,2010,817604,1546,2010
4.5,2,0,Apartment,Society Hill,0,2221,2020,774469,1337,1987
5.0,5,0,Loft,Fishtown,1,2222,2018,266595,3595,1937
2.5,3,1,Row House,Rittenhouse Square,0,2223,2015,1044061,5595,1984
5.0,4,2,Row House,Northern Liberties,0,2224,2018,173384,2134,1911
2.0,6,2,Single Family,Old City,1,2225,2010,669485,1335,1953
3.0,3,2,Single Family,Northern Liberties,1,2226,,902564,3482,1933
3.0,5,1,Condo,Old City,1,2227,2015,1011360,6100,2001
2.0,3,1,Single Family,Rittenhouse Square,1,2228,2020,1291603,808,2004
5.0,1,1,Townhouse,University City,1,2229,2010,637972,5309,1926
4.5,2,0,Apartment,Fairmount,0,2230,,390846,1725,1917
2.0,1,2,Mansion,Center City,1,2231,2015,843310,3400,1920
3.0,1,1,Apartment,Center City,0,2232,2015,236064,3105,1974
4.0,3,0,Mansion,Society Hill,1,2233,2015,364262,3433,1930
3.5,5,1,Apartment,Old City,0,2234,2010,1154047,5945,1986
3.5,5,0,Row House,Fairmount,1,2235,,1176559,2892,1985
2.5,4,2,Mansion,Northern Liberties,0,2236,2010,1441212,4155,1988
4.5,1,1,Condo,Chestnut Hill,1,2237,2018,838819,5998,1949
4.0,2,1,Condo,Chestnut Hill,1,2238,2018,506776,3729,1901
4.5,1,2,Mansion,Fairmount,0,2239,2020,1379353,3391,1931
4.5,1,0,Condo,University City,0,2240,2020,1444315,2065,1930
1.5,5,2,Mansion,Fairmount,1,2241,,240624,2752,1910
3.0,6,0,Condo,Society Hill,0,2242,2018,1295911,1767,1964
4.0,6,2,Row House,Old City,1,2243,2010,986552,6983,1910
4.0,4,0,Row House,Old City,0,2244,2018,488096,3483,1907
1.5,5,1,Row House,Fairmount,1,2245,2015,991612,810,1921
4.5,3,1,Single Family,University City,0,2246,2018,275664,4001,1929
2.5,3,0,Condo,Bella Vista,1,2247,2010,443834,5438,1995
2.0,4,1,Single Family,Old City,0,2248,2015,720327,3795,2015
2.5,6,0,Single Family,Northern Liberties,1,2249,,1420072,5271,2012
2.5,1,0,Loft,Northern Liberties,0,2250,,1005721,2284,1934
2.0,4,1,Loft,Fishtown,1,2251,2018,727279,5605,1996
4.0,6,0,Apartment,Northern Liberties,1,2252,2020,1240227,4544,1963
3.0,1,2,Condo,Rittenhouse Square,1,2253,2010,1023713,6401,1950
1.0,5,0,Townhouse,Fairmount,0,2254,2010,540419,3119,1936
1.5,5,0,Single Family,University City,1,2255,2020,858379,2371,1988
4.5,3,1,Condo,Old City,0,2256,2010,1437022,2137,2000
3.0,1,1,Mansion,Center City,1,2257,2018,300128,3348,1994
1.0,2,0,Mansion,Fairmount,0,2258,2015,799897,5758,2022
4.0,3,0,Condo,Old City,1,2259,,1461403,1381,1922
3.5,6,2,Condo,Fishtown,1,2260,2018,923348,1657,1944
2.5,1,2,Single Family,Society Hill,1,2261,2018,1441148,5573,2018
3.5,3,0,Single Family,Bella Vista,0,2262,2015,1274723,2615,1924
4.5,6,0,Condo,Fairmount,0,2263,2020,462988,4792,1974
5.0,4,2,Row House,Old City,0,2264,2018,289601,5075,2019
5.0,1,1,Apartment,Old City,0,2265,2018,1263796,1462,1996
3.5,3,2,Single Family,University City,1,2266,2018,613708,5812,1982
2.0,4,0,Mansion,Northern Liberties,1,2267,2010,978567,1009,1909
1.5,5,2,Single Family,Center City,1,2268,2020,269801,3038,2014
1.0,3,0,Row House,University City,1,2269,2018,205186,6008,2003
4.5,3,0,Condo,Fishtown,1,2270,2015,1109814,4354,1968
4.5,3,0,Row House,Fishtown,0,2271,2020,775661,4961,1989
3.5,3,2,Row House,University City,1,2272,2018,1310145,1863,1919
1.5,3,2,Mansion,Fishtown,1,2273,,626226,971,1970
4.5,6,1,Condo,Rittenhouse Square,1,2274,2015,1471084,2619,1900
4.5,5,0,Loft,Fishtown,1,2275,2018,372367,5824,2010
2.5,3,0,Single Family,Northern Liberties,0,2276,2015,373249,4857,1963
2.5,3,1,Single Family,Northern Liberties,0,2277,2015,1288469,3168,1958
2.0,2,1,Condo,Bella Vista,1,2278,,1018780,3347,1948
2.5,6,1,Apartment,Old City,0,2279,2010,1446369,4408,2020
3.0,5,0,Townhouse,Chestnut Hill,0,2280,2020,412042,6789,1987
1.0,1,2,Row House,Northern Liberties,1,2281,2020,1083129,4113,1959
1.0,5,2,Condo,Bella Vista,0,2282,2015,365686,1649,1934
5.0,4,2,Townhouse,Bella Vista,1,2283,,421462,2078,1943
3.0,6,1,Mansion,Chestnut Hill,0,2284,,1268868,3709,1941
5.0,2,1,Mansion,Rittenhouse Square,0,2285,2010,934402,2260,1917
1.5,6,0,Apartment,Bella Vista,0,2286,2010,768507,6691,1956
2.0,2,2,Row House,Center City,1,2287,2020,837183,6892,1943
3.0,2,0,Condo,Fishtown,1,2288,,754774,1283,1984
5.0,6,2,Loft,University City,1,2289,2018,873403,4682,1983
4.5,6,2,Condo,Old City,0,2290,2018,1129032,2422,1999
2.0,2,0,Row House,Chestnut Hill,1,2291,2020,1079478,1948,2022
4.5,5,2,Row House,Old City,0,2292,2020,906308,1022,1988
2.5,2,0,Single Family,Fishtown,1,2293,2018,1304701,2406,1967
4.5,5,2,Mansion,Rittenhouse Square,0,2294,2018,228665,2905,1987
4.0,6,2,Row House,Bella Vista,0,2295,,854669,973,1939
2.0,2,1,Apartment,Chestnut Hill,0,2296,2010,491771,5096,1995
1.0,4,0,Mansion,Fairmount,1,2297,2020,275891,3289,1931
2.0,1,2,Single Family,Northern Liberties,0,2298,,1116824,2992,1933
2.5,1,0,Single Family,Fishtown,0,2299,2015,1074880,998,1991
4.0,5,0,Single Family,Fairmount,0,2300,2015,1089014,4010,1968
5.0,6,1,Apartment,Northern Liberties,1,2301,2010,1482700,6252,1947
2.0,3,1,Row House,University City,0,2302,2020,1189372,2842,1947
4.0,6,0,Condo,University City,1,2303,2015,954804,5341,1902
1.0,3,2,Condo,Chestnut Hill,1,2304,,783181,6013,2006
3.0,3,2,Loft,Old City,0,2305,2020,395683,2599,1986
3.5,6,0,Single Family,Fishtown,0,2306,2015,872407,6834,1984
2.5,2,1,Condo,Fairmount,1,2307,2015,1163250,6752,1935
3.0,5,1,Single Family,Fairmount,1,2308,,318266,4957,1902
1.5,6,0,Row House,Rittenhouse Square,1,2309,2020,329834,2123,1977
1.0,6,0,Row House,Society Hill,1,2310,2018,195718,5039,1964
3.0,2,2,Row House,Fairmount,1,2311,2010,751399,4618,2000
2.0,1,0,Single Family,Rittenhouse Square,0,2312,,286594,4346,2000
2.5,6,1,Apartment,Rittenhouse Square,1,2313,2020,954274,2516,1910
2.0,1,1,Row House,Northern Liberties,1,2314,,738753,4264,1975
1.0,1,0,Apartment,University City,0,2315,,1329820,5170,1995
3.5,1,0,Apartment,Bella Vista,1,2316,2015,974098,1804,2003
5.0,1,2,Condo,Fishtown,1,2317,2015,299370,1394,2019
5.0,4,2,Row House,Society Hill,1,2318,2010,830964,1134,1938
2.0,3,2,Row House,Rittenhouse Square,1,2319,2020,1370480,6012,2017
1.0,6,1,Loft,Fairmount,1,2320,2018,371503,5321,1994
3.0,1,1,Apartment,Center City,0,2321,2018,645540,6640,1965
3.0,1,0,Townhouse,Northern Liberties,1,2322,2010,486160,2006,1991
5.0,4,2,Townhouse,Fairmount,0,2323,2015,606400,4126,1932
3.0,5,0,Single Family,Fairmount,0,2324,2020,1324214,2437,1956
2.5,6,0,Townhouse,Northern Liberties,1,2325,2018,1336146,6427,1999
2.0,4,2,Single Family,Old City,0,2326,2015,349416,6605,1910
2.5,6,2,Loft,Chestnut Hill,0,2327,,1165151,3195,1962
2.0,5,0,Apartment,Northern Liberties,0,2328,2010,1404908,4280,1955
4.5,3,1,Row House,University City,0,2329,2020,1212158,1120,1931
2.0,6,0,Single Family,University City,1,2330,2020,449205,809,2015
4.0,2,0,Single Family,University City,1,2331,2015,1275363,3436,1990
1.5,6,2,Condo,Center City,0,2332,2010,666631,4226,1911
3.0,6,2,Row House,University City,0,2333,,561605,1193,1901
4.5,1,1,Mansion,Society Hill,1,2334,,1017687,6325,1956
